name,calories,protein,fat,carbs,fiber,sugar,p_ratio,f_ratio,c_ratio,type_any,type_breakfast,type_lunch/dinner,type_snack
hash brown potato,0.0236959025835116,0.0024986614313760487,0.016342836390049027,0.03921066119938494,0.018300653594771243,0.0010291595197255575,0.05447470817120622,0.35019455252918286,0.5953307392996109,True,False,False,False
baked chips lays,0.021392134276781306,0.0,0.003631741420010895,0.0,0.0,0.0,0.0,1.0,0.0,True,False,False,False
corn chips,0.026657890406450554,0.0033910405140103518,0.018158707100054475,0.044079958995386984,0.01568627450980392,0.00010634648370497427,0.06529209621993126,0.3436426116838488,0.5910652920962198,True,False,False,False
nacho cheese tortilla chips low fat,0.014809939114694751,0.004283419596644655,0.0018158707100054475,0.047411583803177865,0.023529411764705882,0.00274442538593482,0.10958904109589042,0.04566210045662101,0.8447488584474886,False,False,False,True
corn chips barbecue,0.1704788546980418,0.02480813849723363,0.11748683493735246,0.2852383393131728,0.13464052287581701,0.0,0.07319641916798315,0.3407056345444971,0.5860979462875198,False,True,False,False
corn chips unsalted,0.08063189073556032,0.010351597358557917,0.053386598874160154,0.12942080984110713,0.050980392156862744,0.00411663807890223,0.06767794632438741,0.3430571761960327,0.58926487747958,False,True,False,False
potato chips fat free,0.14151719598486096,0.03908620381938248,0.0025422189940076264,0.4871860584315736,0.22222222222222224,0.02881646655231561,0.10262417994376757,0.006560449859418932,0.8908153701968136,False,True,False,False
sweet chilli kettle baked chips,0.016290933026164228,0.0035695163305372126,0.003994915562011985,0.005381855458739109,0.0,0.00137221269296741,0.31746031746031744,0.3492063492063492,0.3333333333333333,False,False,False,True
taro chips,0.0018101036695738028,8.745315009816171e-05,0.0010895224260032684,0.004100461301896464,0.0026143790849673205,0.000137221269296741,0.021787461093819474,0.2667852378835038,0.7114273010226767,False,False,False,True
potato chips reduced fat,0.1318084581207833,0.021595573799750134,0.06428182313419284,0.29138903126601745,0.13071895424836602,0.00137221269296741,0.0750620347394541,0.21960297766749381,0.7053349875930521,False,True,False,False
onion snacks,0.024683231857824586,0.004104943780117794,0.012347920828037042,0.049974372116863154,0.01568627450980392,0.004802744425385934,0.0804195804195804,0.23776223776223773,0.6818181818181818,True,False,False,False
potato chips cheese,0.13871976304097416,0.02587899339639479,0.08389322680225168,0.25140953357252693,0.1150326797385621,0.0,0.09130982367758186,0.29093198992443325,0.6177581863979849,False,True,False,False
yuca cassava chips,0.001480993911469475,9.637694092450473e-05,0.000726348284002179,0.0030753459764223477,2.6143790849673204e-05,2.058319039451115e-05,0.032648125755743655,0.24183796856106413,0.7255139056831923,False,False,False,True
tortilla chips low fat,0.019252920849103176,0.00553275031233268,0.002905393136008716,0.05791901588928756,0.0196078431372549,0.000686106346483705,0.11355311355311355,0.05860805860805861,0.8278388278388279,True,False,False,False
ranch flavor tortilla chips,0.16323844001974658,0.02534356594681421,0.08861449064826583,0.31829830855971303,0.10326797385620916,0.020583190394511147,0.07585470085470085,0.2606837606837607,0.6634615384615385,False,True,False,False
potato chips,0.02649333552739839,0.0037479921470640735,0.018885055384056656,0.04074833418759611,0.018300653594771243,2.4013722126929673e-05,0.073943661971831,0.36619718309859156,0.5598591549295775,True,False,False,False
tortilla chips,0.023366792825407275,0.0037479921470640735,0.011258398402033775,0.05202460276781139,0.020915032679738564,0.000686106346483705,0.07342657342657342,0.21678321678321677,0.7097902097902098,True,False,False,False
sweet potato chips,0.02451867697877242,0.0014278065322148852,0.01652442346104957,0.04074833418759611,0.032679738562091505,0.008576329331046312,0.031007751937984496,0.3527131782945736,0.6162790697674418,True,False,False,False
nacho cheese tortilla chips,0.02567056113213757,0.003926467963590934,0.014890139822044669,0.04664274730907227,0.0196078431372549,0.00274442538593482,0.07692307692307694,0.2867132867132867,0.6363636363636364,True,False,False,False
vegetable chips,0.022050353792989964,0.0026771372479029096,0.011984746686035953,0.04382368016401846,0.016993464052287584,0.003773584905660378,0.05952380952380952,0.26190476190476186,0.6785714285714286,True,False,False,False
taco flavor tortilla chips,0.17936481816685865,0.03194717115830805,0.09969130197929907,0.36699128651973345,0.1568627450980392,0.0,0.08287037037037036,0.25416666666666665,0.6629629629629629,False,False,True,False
potato chips barbecue,0.159618232680599,0.027128324112082814,0.11657889958234974,0.2678113787801128,0.11372549019607843,0.048027444253859346,0.08265361609570418,0.34910277324632955,0.5682436106579662,False,False,True,False
pita chips,0.022544018430146456,0.006246653578440122,0.008353005266025058,0.052537160430548444,0.014379084967320262,0.004802744425385934,0.12237762237762237,0.1608391608391608,0.7167832167832168,True,False,False,False
potato chips sour cream and onion,0.17294717788382427,0.0285561306442977,0.12184492464136551,0.2614044079958996,0.13464052287581701,0.0,0.0864397622906537,0.36250675310642894,0.5510534846029174,False,False,True,False
adobo fresco,0.12835280566068785,0.010351597358557917,0.10931541674232795,0.13736545361353153,0.048366013071895426,0.019897084048027442,0.048494983277591976,0.5033444816053512,0.4481605351170569,False,True,False,False
chili pepper sauce red,0.0004936646371564917,0.00017847581652686065,0.0001616124931904848,0.0015376729882111738,0.0013071895424836603,0.00137221269296741,0.1267427122940431,0.11280101394169836,0.7604562737642586,False,False,False,True
creamy ranch sauce mcdonalds,0.021721244034885637,0.0005354274495805819,0.026693299437080077,0.00256278831368529,0.0,0.003430531732418525,0.01875,0.91875,0.0625,True,False,False,False
catsup,0.003126542701991114,0.0003569516330537213,0.00011984746686035954,0.011532547411583804,0.0006928104575163399,0.012692967409948543,0.04196391103650861,0.013848090642047839,0.9441879983214435,False,False,False,True
chili pepper sauce green,0.0004936646371564917,0.00017847581652686065,5.810786272017432e-05,0.002050230650948232,0.00392156862745098,0.00137221269296741,0.1072961373390558,0.034334763948497854,0.8583690987124464,False,False,False,True
red wine vinegar,0.0004936646371564917,9.816169908977335e-05,0.0,2.819067145053819e-05,0.0,0.0,0.8333333333333333,0.0,0.16666666666666666,False,False,False,True
fish sauce,0.0009873292743129835,0.0016062823487417457,2.3606319230070815e-05,0.0017939518195797027,0.0,0.002401372212692967,0.5579665220086795,0.008059516429014259,0.4339739615623062,False,False,False,True
coleslaw dressing reduced fat,0.009215073226921179,0.0,0.006173960414018521,0.01742696053305997,0.000588235294117647,0.022641509433962263,0.0,0.33333333333333337,0.6666666666666667,False,False,False,True
sour dressing,0.003455652460095442,0.0007139032661074426,0.003631741420010895,0.0015376729882111738,0.0,0.002058319039451115,0.13333333333333333,0.6666666666666666,0.19999999999999998,False,False,False,True
guava sauce cooked,0.014151719598486096,0.0014278065322148852,0.0005447612130016342,0.05791901588928756,0.11241830065359477,0.048027444253859346,0.03375527426160337,0.012658227848101264,0.9535864978902953,False,True,False,False
pizza sauce,0.02237946355109429,0.009816169908977334,0.005266025059015797,0.05586878523833932,0.06535947712418301,0.032590051457975985,0.18211920529801323,0.09602649006622516,0.7218543046357615,False,True,False,False
sweetn sour sauce mcdonalds,0.007898634194503868,0.0003569516330537213,0.0005447612130016342,0.028190671450538187,0.0,0.03430531732418525,0.017391304347826087,0.02608695652173913,0.9565217391304348,False,False,False,True
nance syrup,0.0006582195162086556,4.997322862752098e-05,3.631741420010895e-06,0.002050230650948232,0.00392156862745098,0.002058319039451115,0.033734939759036145,0.0024096385542168672,0.963855421686747,False,False,False,True
french dressing reduced fat,0.006088530524930065,0.00012850258789933965,0.003994915562011985,0.012045105074320862,0.0026143790849673205,0.01578044596912521,0.010327022375215145,0.3155479059093517,0.6741250717154331,False,False,False,True
